,EDAD,CLUSTER,SEXO,COUNT,SEMANA
760,22,Administracion,F,17049,37
761,22,Administracion,F,5254,38
762,22,Administracion,M,18652,35
763,22,Administracion,M,20982,36
764,22,Administracion,M,22745,37
765,22,Administracion,M,6595,38
766,22,Consulta,F,24991,35
767,22,Consulta,F,28089,36
768,22,Consulta,F,30701,37
769,22,Consulta,F,8741,38
770,22,Consulta,M,31902,35
771,22,Consulta,M,36409,36
772,22,Consulta,M,39591,37
773,22,Consulta,M,10273,38
774,22,Contacto,F,48,35
775,22,Contacto,F,75,36
776,22,Contacto,F,67,37
777,22,Contacto,F,6,38
778,22,Contacto,M,58,35
779,22,Contacto,M,58,36
780,22,Contacto,M,82,37
781,22,Contacto,M,20,38
782,22,Creacion de usuario,F,66,35
783,22,Creacion de usuario,F,95,36
784,22,Creacion de usuario,F,94,37
785,22,Creacion de usuario,F,13,38
786,22,Creacion de usuario,M,110,35
787,22,Creacion de usuario,M,202,36
788,22,Creacion de usuario,M,162,37
789,22,Creacion de usuario,M,28,38
790,22,Inversiones,M,1,36
791,22,Pagos,F,290,35
792,22,Pagos,F,362,36
793,22,Pagos,F,543,37
794,22,Pagos,F,67,38
795,22,Pagos,M,375,35
796,22,Pagos,M,524,36
797,22,Pagos,M,661,37
798,22,Pagos,M,75,38
799,22,Pasos,F,1691,35
800,22,Pasos,F,1936,36
801,22,Pasos,F,2212,37
802,22,Pasos,F,494,38
803,22,Pasos,M,1594,35
804,22,Pasos,M,1847,36
805,22,Pasos,M,2106,37
806,22,Pasos,M,379,38
807,22,Permisos,F,36,35
808,22,Permisos,F,46,36
809,22,Permisos,F,57,37
810,22,Permisos,F,2,38
811,22,Permisos,M,58,35
812,22,Permisos,M,62,36
813,22,Permisos,M,78,37
814,22,Permisos,M,10,38
815,22,Retiro,F,665,35
816,22,Retiro,F,822,36
817,22,Retiro,F,917,37
818,22,Retiro,F,160,38
819,22,Retiro,M,934,35
820,22,Retiro,M,1090,36
821,22,Retiro,M,1229,37
822,22,Retiro,M,190,38
823,22,Servicios,F,1224,35
824,22,Servicios,F,1576,36
825,22,Servicios,F,1814,37
826,22,Servicios,F,372,38
827,22,Servicios,M,1310,35
828,22,Servicios,M,1820,36
829,22,Servicios,M,2027,37
830,22,Servicios,M,344,38
831,22,Transferencias,F,5093,35
832,22,Transferencias,F,5876,36
833,22,Transferencias,F,6882,37
834,22,Transferencias,F,1244,38
835,22,Transferencias,M,5868,35
836,22,Transferencias,M,7052,36
837,22,Transferencias,M,7993,37
838,22,Transferencias,M,1236,38
839,23,Administracion,F,16717,35
840,23,Administracion,F,18992,36
841,23,Administracion,F,20858,37
842,23,Administracion,F,6637,38
843,23,Administracion,M,20931,35
844,23,Administracion,M,23367,36
845,23,Administracion,M,25503,37
846,23,Administracion,M,7517,38
847,23,Consulta,F,30121,35
848,23,Consulta,F,34298,36
849,23,Consulta,F,37769,37
850,23,Consulta,F,11135,38
851,23,Consulta,M,36182,35
852,23,Consulta,M,40809,36
853,23,Consulta,M,44773,37
854,23,Consulta,M,11938,38
855,23,Contacto,F,40,35
856,23,Contacto,F,51,36
857,23,Contacto,F,61,37
858,23,Contacto,F,12,38
859,23,Contacto,M,63,35
860,23,Contacto,M,108,36
861,23,Contacto,M,119,37
862,23,Contacto,M,31,38
863,23,Creacion de usuario,F,63,35
864,23,Creacion de usuario,F,117,36
865,23,Creacion de usuario,F,124,37
866,23,Creacion de usuario,F,21,38
867,23,Creacion de usuario,M,153,35
868,23,Creacion de usuario,M,221,36
869,23,Creacion de usuario,M,186,37
870,23,Creacion de usuario,M,34,38
871,23,Inversiones,M,1,36
872,23,Pagos,F,364,35
873,23,Pagos,F,483,36
874,23,Pagos,F,738,37
875,23,Pagos,F,89,38
876,23,Pagos,M,511,35
877,23,Pagos,M,662,36
878,23,Pagos,M,908,37
879,23,Pagos,M,103,38
880,23,Pasos,F,2223,35
881,23,Pasos,F,2512,36
882,23,Pasos,F,2878,37
883,23,Pasos,F,640,38
884,23,Pasos,M,1949,35
885,23,Pasos,M,2301,36
886,23,Pasos,M,2587,37
887,23,Pasos,M,475,38
888,23,Permisos,F,34,35
889,23,Permisos,F,64,36
890,23,Permisos,F,65,37
891,23,Permisos,F,7,38
892,23,Permisos,M,66,35
893,23,Permisos,M,73,36
894,23,Permisos,M,64,37
895,23,Permisos,M,1,38
896,23,Retiro,F,803,35
897,23,Retiro,F,992,36
898,23,Retiro,F,1180,37
899,23,Retiro,F,216,38
900,23,Retiro,M,1014,35
901,23,Retiro,M,1236,36
902,23,Retiro,M,1379,37
903,23,Retiro,M,217,38
904,23,Servicios,F,1372,35
905,23,Servicios,F,1867,36
906,23,Servicios,F,2157,37
907,23,Servicios,F,502,38
908,23,Servicios,M,1489,35
909,23,Servicios,M,1934,36
910,23,Servicios,M,2183,37
911,23,Servicios,M,442,38
912,23,Transferencias,F,6270,35
913,23,Transferencias,F,7226,36
914,23,Transferencias,F,8489,37
915,23,Transferencias,F,1584,38
916,23,Transferencias,M,6675,35
917,23,Transferencias,M,7784,36
918,23,Transferencias,M,9032,37
919,23,Transferencias,M,1456,38
920,24,Administracion,F,18698,35
921,24,Administracion,F,21142,36
922,24,Administracion,F,23224,37
923,24,Administracion,F,7480,38
924,24,Administracion,M,22543,35
925,24,Administracion,M,25490,36
926,24,Administracion,M,27838,37
927,24,Administracion,M,8458,38
928,24,Consulta,F,33581,35
929,24,Consulta,F,38106,36
930,24,Consulta,F,42257,37
931,24,Consulta,F,12530,38
932,24,Consulta,M,39040,35
933,24,Consulta,M,44537,36
934,24,Consulta,M,49038,37
935,24,Consulta,M,13541,38
936,24,Contacto,F,61,35
937,24,Contacto,F,104,36
938,24,Contacto,F,112,37
939,24,Contacto,F,17,38
940,24,Contacto,M,71,35
941,24,Contacto,M,120,36
942,24,Contacto,M,111,37
943,24,Contacto,M,31,38
944,24,Creacion de usuario,F,73,35
945,24,Creacion de usuario,F,143,36
946,24,Creacion de usuario,F,120,37
947,24,Creacion de usuario,F,28,38
948,24,Creacion de usuario,M,141,35
949,24,Creacion de usuario,M,252,36
950,24,Creacion de usuario,M,225,37
951,24,Creacion de usuario,M,31,38
952,24,Pagos,F,411,35
953,24,Pagos,F,608,36
954,24,Pagos,F,939,37
955,24,Pagos,F,123,38
956,24,Pagos,M,543,35
957,24,Pagos,M,738,36
958,24,Pagos,M,1006,37
959,24,Pagos,M,142,38
960,24,Pasos,F,2578,35
961,24,Pasos,F,2989,36
962,24,Pasos,F,3471,37
963,24,Pasos,F,767,38
964,24,Pasos,M,2203,35
965,24,Pasos,M,2574,36
966,24,Pasos,M,2959,37
967,24,Pasos,M,577,38
968,24,Permisos,F,45,35
969,24,Permisos,F,70,36
970,24,Permisos,F,55,37
971,24,Permisos,F,6,38
972,24,Permisos,M,73,35
973,24,Permisos,M,82,36
974,24,Permisos,M,77,37
975,24,Permisos,M,10,38
976,24,Retiro,F,884,35
977,24,Retiro,F,1186,36
978,24,Retiro,F,1338,37
979,24,Retiro,F,242,38
980,24,Retiro,M,1127,35
981,24,Retiro,M,1343,36
982,24,Retiro,M,1516,37
983,24,Retiro,M,254,38
984,24,Servicios,F,1446,35
985,24,Servicios,F,2024,36
986,24,Servicios,F,2277,37
987,24,Servicios,F,492,38
988,24,Servicios,M,1572,35
989,24,Servicios,M,2173,36
990,24,Servicios,M,2438,37
991,24,Servicios,M,459,38
992,24,Transferencias,F,6891,35
993,24,Transferencias,F,8025,36
994,24,Transferencias,F,9509,37
995,24,Transferencias,F,1780,38
996,24,Transferencias,M,7060,35
997,24,Transferencias,M,8400,36
998,24,Transferencias,M,9776,37
999,24,Transferencias,M,1708,38
1000,25,Administracion,F,20248,35
1001,25,Administracion,F,22835,36
1002,25,Administracion,F,25230,37
1003,25,Administracion,F,8157,38
1004,25,Administracion,M,24027,35
1005,25,Administracion,M,27290,36
1006,25,Administracion,M,29827,37
1007,25,Administracion,M,8954,38
1008,25,Consulta,F,36624,35
1009,25,Consulta,F,41338,36
1010,25,Consulta,F,46302,37
1011,25,Consulta,F,13886,38
1012,25,Consulta,M,41782,35
1013,25,Consulta,M,47912,36
1014,25,Consulta,M,52673,37
1015,25,Consulta,M,14269,38
1016,25,Contacto,F,64,35
1017,25,Contacto,F,80,36
1018,25,Contacto,F,99,37
1019,25,Contacto,F,21,38
1020,25,Contacto,M,75,35
1021,25,Contacto,M,114,36
1022,25,Contacto,M,121,37
1023,25,Contacto,M,34,38
1024,25,Creacion de usuario,F,95,35
1025,25,Creacion de usuario,F,142,36
1026,25,Creacion de usuario,F,155,37
1027,25,Creacion de usuario,F,10,38
1028,25,Creacion de usuario,M,141,35
1029,25,Creacion de usuario,M,236,36
1030,25,Creacion de usuario,M,247,37
1031,25,Creacion de usuario,M,42,38
1032,25,Pagos,F,565,35
1033,25,Pagos,F,696,36
1034,25,Pagos,F,1096,37
1035,25,Pagos,F,162,38
1036,25,Pagos,M,618,35
1037,25,Pagos,M,849,36
1038,25,Pagos,M,1173,37
1039,25,Pagos,M,135,38
1040,25,Pasos,F,2973,35
1041,25,Pasos,F,3376,36
1042,25,Pasos,F,3881,37
1043,25,Pasos,F,917,38
1044,25,Pasos,M,2438,35
1045,25,Pasos,M,2907,36
1046,25,Pasos,M,3361,37
1047,25,Pasos,M,623,38
1048,25,Permisos,F,53,35
1049,25,Permisos,F,49,36
1050,25,Permisos,F,71,37
1051,25,Permisos,F,6,38
1052,25,Permisos,M,56,35
1053,25,Permisos,M,97,36
1054,25,Permisos,M,70,37
1055,25,Permisos,M,9,38
1056,25,Retiro,F,990,35
1057,25,Retiro,F,1271,36
1058,25,Retiro,F,1416,37
1059,25,Retiro,F,284,38
1060,25,Retiro,M,1196,35
1061,25,Retiro,M,1465,36
1062,25,Retiro,M,1624,37
1063,25,Retiro,M,284,38
1064,25,Servicios,F,1537,35
1065,25,Servicios,F,2181,36
1066,25,Servicios,F,2514,37
1067,25,Servicios,F,530,38
1068,25,Servicios,M,1608,35
1069,25,Servicios,M,2309,36
1070,25,Servicios,M,2613,37
1071,25,Servicios,M,517,38
1072,25,Transferencias,F,7510,35
1073,25,Transferencias,F,8544,36
1074,25,Transferencias,F,10400,37
1075,25,Transferencias,F,1984,38
1076,25,Transferencias,M,7556,35
1077,25,Transferencias,M,8966,36
1078,25,Transferencias,M,10446,37
1079,25,Transferencias,M,1719,38
1080,26,Administracion,F,21040,35
1081,26,Administracion,F,23490,36
1082,26,Administracion,F,26163,37
1083,26,Administracion,F,8477,38
1084,26,Administracion,M,24945,35
1085,26,Administracion,M,28519,36
1086,26,Administracion,M,31275,37
1087,26,Administracion,M,9689,38
1088,26,Consulta,F,37746,35
1089,26,Consulta,F,42681,36
1090,26,Consulta,F,47827,37
1091,26,Consulta,F,14396,38
1092,26,Consulta,M,43578,35
1093,26,Consulta,M,49984,36
1094,26,Consulta,M,55320,37
1095,26,Consulta,M,15578,38
1096,26,Contacto,F,77,35
1097,26,Contacto,F,91,36
1098,26,Contacto,F,103,37
1099,26,Contacto,F,22,38
1100,26,Contacto,M,91,35
1101,26,Contacto,M,115,36
1102,26,Contacto,M,149,37
1103,26,Contacto,M,31,38
1104,26,Creacion de usuario,F,85,35
1105,26,Creacion de usuario,F,142,36
1106,26,Creacion de usuario,F,145,37
1107,26,Creacion de usuario,F,19,38
1108,26,Creacion de usuario,M,166,35
1109,26,Creacion de usuario,M,228,36
1110,26,Creacion de usuario,M,239,37
1111,26,Creacion de usuario,M,41,38
1112,26,Pagos,F,571,35
1113,26,Pagos,F,746,36
1114,26,Pagos,F,1067,37
1115,26,Pagos,F,163,38
1116,26,Pagos,M,690,35
1117,26,Pagos,M,932,36
1118,26,Pagos,M,1203,37
1119,26,Pagos,M,200,38
1120,26,Pasos,F,3116,35
1121,26,Pasos,F,3685,36
1122,26,Pasos,F,4173,37
1123,26,Pasos,F,934,38
1124,26,Pasos,M,2674,35
1125,26,Pasos,M,3174,36
1126,26,Pasos,M,3691,37
1127,26,Pasos,M,731,38
1128,26,Permisos,F,46,35
1129,26,Permisos,F,60,36
1130,26,Permisos,F,74,37
1131,26,Permisos,F,9,38
1132,26,Permisos,M,88,35
1133,26,Permisos,M,96,36
1134,26,Permisos,M,82,37
1135,26,Permisos,M,16,38
1136,26,Retiro,F,1046,35
1137,26,Retiro,F,1349,36
1138,26,Retiro,F,1518,37
1139,26,Retiro,F,294,38
1140,26,Retiro,M,1328,35
1141,26,Retiro,M,1612,36
1142,26,Retiro,M,1781,37
1143,26,Retiro,M,352,38
1144,26,Servicios,F,1644,35
1145,26,Servicios,F,2187,36
1146,26,Servicios,F,2568,37
1147,26,Servicios,F,574,38
1148,26,Servicios,M,1728,35
1149,26,Servicios,M,2406,36
1150,26,Servicios,M,2676,37
1151,26,Servicios,M,560,38
1152,26,Transferencias,F,7585,35
1153,26,Transferencias,F,8825,36
1154,26,Transferencias,F,10706,37
1155,26,Transferencias,F,2057,38
1156,26,Transferencias,M,7840,35
1157,26,Transferencias,M,9387,36
1158,26,Transferencias,M,11004,37
1159,26,Transferencias,M,1902,38
1160,27,Administracion,F,21751,35
1161,27,Administracion,F,24636,36
1162,27,Administracion,F,27319,37
1163,27,Administracion,F,8920,38
1164,27,Administracion,M,24994,35
1165,27,Administracion,M,28658,36
1166,27,Administracion,M,31158,37
1167,27,Administracion,M,9479,38
1168,27,Consulta,F,39301,35
1169,27,Consulta,F,44592,36
1170,27,Consulta,F,49896,37
1171,27,Consulta,F,15245,38
1172,27,Consulta,M,43572,35
1173,27,Consulta,M,50253,36
1174,27,Consulta,M,55495,37
1175,27,Consulta,M,15235,38
1176,27,Contacto,F,66,35
1177,27,Contacto,F,93,36
1178,27,Contacto,F,113,37
1179,27,Contacto,F,19,38
1180,27,Contacto,M,77,35
1181,27,Contacto,M,112,36
1182,27,Contacto,M,113,37
1183,27,Contacto,M,23,38
1184,27,Creacion de usuario,F,84,35
1185,27,Creacion de usuario,F,149,36
1186,27,Creacion de usuario,F,142,37
1187,27,Creacion de usuario,F,27,38
1188,27,Creacion de usuario,M,151,35
1189,27,Creacion de usuario,M,258,36
1190,27,Creacion de usuario,M,248,37
1191,27,Creacion de usuario,M,29,38
1192,27,Pagos,F,621,35
1193,27,Pagos,F,745,36
1194,27,Pagos,F,1284,37
1195,27,Pagos,F,187,38
1196,27,Pagos,M,730,35
1197,27,Pagos,M,974,36
1198,27,Pagos,M,1339,37
1199,27,Pagos,M,181,38
1200,27,Pasos,F,3290,35
1201,27,Pasos,F,3795,36
1202,27,Pasos,F,4446,37
1203,27,Pasos,F,1060,38
1204,27,Pasos,M,2750,35
1205,27,Pasos,M,3235,36
1206,27,Pasos,M,3762,37
1207,27,Pasos,M,764,38
1208,27,Permisos,F,52,35
1209,27,Permisos,F,70,36
1210,27,Permisos,F,61,37
1211,27,Permisos,F,8,38
1212,27,Permisos,M,67,35
1213,27,Permisos,M,102,36
1214,27,Permisos,M,101,37
1215,27,Permisos,M,15,38
1216,27,Retiro,F,1071,35
1217,27,Retiro,F,1343,36
1218,27,Retiro,F,1561,37
1219,27,Retiro,F,285,38
1220,27,Retiro,M,1260,35
1221,27,Retiro,M,1590,36
1222,27,Retiro,M,1727,37
1223,27,Retiro,M,327,38
1224,27,Servicios,F,1622,35
1225,27,Servicios,F,2307,36
1226,27,Servicios,F,2529,37
1227,27,Servicios,F,589,38
1228,27,Servicios,M,1707,35
1229,27,Servicios,M,2328,36
1230,27,Servicios,M,2664,37
1231,27,Servicios,M,524,38
1232,27,Transferencias,F,7823,35
1233,27,Transferencias,F,9082,36
1234,27,Transferencias,F,11061,37
1235,27,Transferencias,F,2207,38
1236,27,Transferencias,M,7772,35
1237,27,Transferencias,M,9248,36
1238,27,Transferencias,M,10945,37
1239,27,Transferencias,M,1843,38
1240,28,Administracion,F,21525,35
1241,28,Administracion,F,24414,36
1242,28,Administracion,F,27186,37
1243,28,Administracion,F,8925,38
1244,28,Administracion,M,25154,35
1245,28,Administracion,M,28964,36
1246,28,Administracion,M,31760,37
1247,28,Administracion,M,9852,38
1248,28,Consulta,F,39064,35
1249,28,Consulta,F,44138,36
1250,28,Consulta,F,49892,37
1251,28,Consulta,F,15127,38
1252,28,Consulta,M,44151,35
1253,28,Consulta,M,50901,36
1254,28,Consulta,M,56464,37
1255,28,Consulta,M,15729,38
1256,28,Contacto,F,72,35
1257,28,Contacto,F,76,36
1258,28,Contacto,F,109,37
1259,28,Contacto,F,25,38
1260,28,Contacto,M,79,35
1261,28,Contacto,M,114,36
1262,28,Contacto,M,135,37
1263,28,Contacto,M,24,38
1264,28,Creacion de usuario,F,87,35
1265,28,Creacion de usuario,F,132,36
1266,28,Creacion de usuario,F,161,37
1267,28,Creacion de usuario,F,21,38
1268,28,Creacion de usuario,M,154,35
1269,28,Creacion de usuario,M,212,36
1270,28,Creacion de usuario,M,225,37
1271,28,Creacion de usuario,M,40,38
1272,28,Pagos,F,677,35
1273,28,Pagos,F,797,36
1274,28,Pagos,F,1292,37
1275,28,Pagos,F,214,38
1276,28,Pagos,M,827,35
1277,28,Pagos,M,1030,36
1278,28,Pagos,M,1400,37
1279,28,Pagos,M,177,38
1280,28,Pasos,F,3302,35
1281,28,Pasos,F,3774,36
1282,28,Pasos,F,4602,37
1283,28,Pasos,F,1047,38
1284,28,Pasos,M,2922,35
1285,28,Pasos,M,3410,36
1286,28,Pasos,M,3938,37
1287,28,Pasos,M,795,38
