,SEMANA,NOMBRESERVICIO,CLUSTER,COUNT,percent
292,35,Guardar pago referenciado,Pagos,146,8.6063460838119e-06
293,36,Guardar pago referenciado,Pagos,344,2.0277966115282832e-05
294,37,Guardar pago referenciado,Pagos,684,4.032014192689958e-05
295,38,Guardar pago referenciado,Pagos,205,1.208425306288657e-05
296,35,Lectura QR CoDi,Pagos,336,1.9806385507950672e-05
297,36,Lectura QR CoDi,Pagos,495,2.917905007867733e-05
298,37,Lectura QR CoDi,Pagos,475,2.8000098560346932e-05
299,38,Lectura QR CoDi,Pagos,55,3.242116675408592e-06
300,35,Pago Aceptado CoDi,Pagos,343,2.021901853936631e-05
301,36,Pago Aceptado CoDi,Pagos,492,2.900220735092777e-05
302,37,Pago Aceptado CoDi,Pagos,482,2.8412731591762572e-05
303,38,Pago Aceptado CoDi,Pagos,55,3.242116675408592e-06
304,35,Pago No presencial CoDi Recurrentes,Pagos,2,1.1789515183303971e-07
305,36,Pago No presencial CoDi Recurrentes,Pagos,3,1.7684272774955958e-07
306,37,Pago No presencial CoDi Recurrentes,Pagos,15,8.842136387477979e-07
307,38,Pago No presencial CoDi Recurrentes,Pagos,1,5.894757591651986e-08
308,35,Pago No presencial CoDi Una Ocasion,Pagos,72,4.24422546598943e-06
309,36,Pago No presencial CoDi Una Ocasion,Pagos,109,6.425285774900664e-06
310,37,Pago No presencial CoDi Una Ocasion,Pagos,104,6.130547895318065e-06
311,38,Pago No presencial CoDi Una Ocasion,Pagos,19,1.1200039424138772e-06
312,35,Pago Pospuesto CoDi,Pagos,1,5.894757591651986e-08
313,36,Pago Pospuesto CoDi,Pagos,5,2.947378795825993e-07
314,35,Pago Presencial CoDi Una Ocasion,Pagos,244,1.4383208523630845e-05
315,36,Pago Presencial CoDi Una Ocasion,Pagos,362,2.1339022481780188e-05
316,37,Pago Presencial CoDi Una Ocasion,Pagos,344,2.0277966115282832e-05
317,38,Pago Presencial CoDi Una Ocasion,Pagos,34,2.0042175811616752e-06
318,35,Pago Rechazado CoDi,Pagos,14,8.25266062831278e-07
319,36,Pago Rechazado CoDi,Pagos,21,1.237899094246917e-06
320,37,Pago Rechazado CoDi,Pagos,24,1.4147418219964766e-06
321,38,Pago Rechazado CoDi,Pagos,1,5.894757591651986e-08
322,35,Pago de Servicios,Pagos,11358,0.0006695265672598326
323,36,Pago de Servicios,Pagos,15397,0.0009076158263866562
324,37,Pago de Servicios,Pagos,18034,0.001063060584078519
325,38,Pago de Servicios,Pagos,2937,0.00017312903046681882
326,35,Pagos De Impuestos Referenciados,Pagos,146,8.6063460838119e-06
327,36,Pagos De Impuestos Referenciados,Pagos,341,2.010112338753327e-05
